ADM0_ES,ADM0_PCODE,ADM1ALT1ES,ADM1ALT2ES,ADM1_ES,ADM1_PCODE,ADM1_REF,CIR_Index,CWC,FAPAR,FID,IRECI_Index,LAI,PVI_Index,SAVI_Index,Shape_Area,Shape_Leng,TSAVI_Index,administra,app_id,categoria,centroid_x,centroid_y,date,escala,fecha_act,fecha_regi,hectareas0,hectareas_,id_pnn,nombre,organizaci,perimetro_,record_id,resolucion,territoria,type,url,validOn,validTo,validado,wkid,longitude,latitude
Colombia,CO,,,Casanare,CO85,,0.33149534463882446,0.05829259753227234,0.25105422735214233,623,-0.0027566796634346247,0.9944860339164734,0.12631705403327942,0.2579282820224762,3.61506314804,12.1327535552,0.21368439495563507,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.52510675,5.55429317,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1588032000000}","{'type': 'Date', 'value': 1588032000000}",2000.04480956,2000.2249,1551.0,El Tirriagal,Parques Nacionales Naturales de Colombia,,2032.0,227,,,https://runap.parquesnacionales.gov.co/area-protegida/1551,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.52586592568883,5.548670759880677
Colombia,CO,,,Casanare,CO85,,0.3409986197948456,0.17356377840042114,0.26283830404281616,624,0.0014850683510303497,1.022995948791504,0.13729724287986755,0.2723480761051178,3.61506314804,12.1327535552,0.22734808921813965,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.03501363,5.14454829,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1311206400000}","{'type': 'Date', 'value': 1311206400000}",798.84427845,800.9735,240.0,Finca Matesanto,Parques Nacionales Naturales de Colombia,,1626.0,0140,,,https://runap.parquesnacionales.gov.co/area-protegida/240,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.03708835853153,5.142061043646282
Colombia,CO,,,Casanare,CO85,,0.37911054491996765,0.053876012563705444,0.3100970685482025,625,-0.00023872070596553385,1.1373316049575806,0.16459517180919647,0.3134291172027588,3.61506314804,12.1327535552,0.2645833194255829,CORPORINOQUIA,1.0,Distritos Regionales de Manejo Integrado,-72.45972108,4.94526663,"{'type': 'Date', 'value': 1514764800000}",,,,13757.75267263,13768.0,1040.0,El Tinije,Corporación Autónoma Regional de la Orinoquía,,1144.0,08012,,,https://runap.parquesnacionales.gov.co/area-protegida/1040,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-72.47412052559993,5.01408298026727
Colombia,CO,,,Casanare,CO85,,0.3103064298629761,0.06215253844857216,0.22477996349334717,626,0.014886169694364071,0.9309192299842834,0.11408315598964691,0.23727771639823914,3.61506314804,12.1327535552,0.19566091895103455,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.01851749,5.34381857,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1515110400000}","{'type': 'Date', 'value': 1515110400000}",4968.3326316,4968.3293,1281.0,Medano Los Morrucos,Parques Nacionales Naturales de Colombia,,1546.0,143,,,https://runap.parquesnacionales.gov.co/area-protegida/1281,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.02667492346681,5.322822969214872
Colombia,CO,,,Casanare,CO85,,0.3607715368270874,0.12121692299842834,0.2873567044734955,627,0.014419171027839184,1.0823146104812622,0.15613102912902832,0.297837495803833,3.61506314804,12.1327535552,0.25129708647727966,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.9140135,5.31893263,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1403654400000}","{'type': 'Date', 'value': 1403654400000}",6500.97842713,6545.0,694.0,Hato Venecia De Guanapalo,Parques Nacionales Naturales de Colombia,,741.0,0016,,,https://runap.parquesnacionales.gov.co/area-protegida/694,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.86800240315476,5.30555486066636
Colombia,CO,,,Casanare,CO85,,0.37117499113082886,0.16511736810207367,0.30025699734687805,628,0.005910515785217285,1.1135250329971313,0.14282509684562683,0.2901591956615448,3.61506314804,12.1327535552,0.24070125818252563,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.09457836,5.71163846,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1573948800000}","{'type': 'Date', 'value': 1573948800000}",1978.615821,1978.6158,1517.0,La Provincia,Parques Nacionales Naturales de Colombia,,1922.0,167,,,https://runap.parquesnacionales.gov.co/area-protegida/1517,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.08511727279192,5.730321178880466
Colombia,CO,,,Casanare,CO85,,0.2683025300502777,0.025720663368701935,0.17269514501094818,629,-0.0006303561385720968,0.8049076199531555,0.0920727401971817,0.19822728633880615,3.61506314804,12.1327535552,0.16209182143211365,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.76180935,5.28005268,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1559692800000}","{'type': 'Date', 'value': 1559692800000}",6405.3887807,6405.388,1441.0,Miravalles,Parques Nacionales Naturales de Colombia,,1816.0,191,,,https://runap.parquesnacionales.gov.co/area-protegida/1441,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.83319882876019,5.293803308202081
Colombia,CO,,,Casanare,CO85,,0.3519081771373749,0.08960210531949997,0.27636614441871643,630,0.009677471593022346,1.0557245016098022,0.1470954269170761,0.28597491979599,3.61506314804,12.1327535552,0.24002467095851898,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.78939750000002,5.15952822,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1509408000000}","{'type': 'Date', 'value': 1509408000000}",3993.40449174,3994.117,714.0,La Bramadora,Parques Nacionales Naturales de Colombia,,1470.0,0074,,,https://runap.parquesnacionales.gov.co/area-protegida/714,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.83192294386558,5.126115181355128
Colombia,CO,,,Casanare,CO85,,0.26114675402641296,0.03507457673549652,0.1638219952583313,631,-0.0013837720034644008,0.7834402918815613,0.0806945338845253,0.18268969655036926,3.61506314804,12.1327535552,0.14769797027111053,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.01851749,5.34381857,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1515110400000}","{'type': 'Date', 'value': 1515110400000}",4968.3326316,4968.3293,1281.0,Medano Los Morrucos,Parques Nacionales Naturales de Colombia,,1546.0,143,,,https://runap.parquesnacionales.gov.co/area-protegida/1281,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.03832042388512,5.340062173846813
Colombia,CO,,,Casanare,CO85,,0.2533039152622223,0.006045067682862282,0.15409685671329498,632,0.0023275178391486406,0.7599117755889893,0.07204852998256683,0.16939614713191986,3.61506314804,12.1327535552,0.13588596880435944,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.10893389,6.10799714,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1564272000000}","{'type': 'Date', 'value': 1564272000000}",843.00000578,843.0,1427.0,Hato las Covijas,Parques Nacionales Naturales de Colombia,,1857.0,173,,,https://runap.parquesnacionales.gov.co/area-protegida/1427,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.10752863120987,6.109513942079956
Colombia,CO,,,Casanare,CO85,,0.3167531192302704,0.05100725591182709,0.23277387022972107,633,0.004747612867504358,0.9502593874931335,0.13227316737174988,0.2572927176952362,3.61506314804,12.1327535552,0.21592023968696594,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.76691139,5.13423822,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1509408000000}","{'type': 'Date', 'value': 1509408000000}",4095.08236191,4088.36,715.0,La Travesada,Parques Nacionales Naturales de Colombia,,1468.0,0073,,,https://runap.parquesnacionales.gov.co/area-protegida/715,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.8082106490267,5.124282917788212
